agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q054,q055,q056,q061,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
7,77902600002,98.8235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,781-0615913,96.2719298245614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,787-0691650,98.9583333333333,,,,,33.5135135135135,,,,,,,,,,,,,,,,,,,,,,,,
7,795-4399912,96.969696969697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,902-0647942,96.4285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,920-0011823,96.7741935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2098765432099
9,920-2784791,95.8333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,920-4648575,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,920-8501612,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,926-1227062,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,926-2931538,96.7741935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,926-3401287,96.4285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,926-3574004,97.8260869565217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6896551724138
9,931-1406492,95.8333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,933-0875305,97.0588235294118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,941-2258563,97.1428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,961-1552666,95.8333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,965-0904482,95.3488372093023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,972-1459489,95.8333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
3,30000012444,,23.5294117647059,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000034101,,20.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,14.0,71.4285714285714,71.4285714285714,71.4285714285714
3,30000057300,,26.0869565217391,,,,,52.1739130434783,76.0377743053196,,,,,,,,,,,,,,,,,,,,,,34.7826086956522
3,30000009123,,18.2389937106918,,,,,7.54716981132075,42.3056167648514,,,,,,,,,,,,,,,,,,,,,,
5,50000008111,,17.9243119266055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000068558,,18.6638388123012,,20.8907741251326,16.8610816542948,24.0789473684211,,,,45.0689289501591,,,,,,,,,,,,,,,,,,,,
3,30000035599,,29.4117647058824,,,,,41.1764705882353,61.2640163098879,,,,,,,,,,,,,,,,,,,,,,29.4117647058824
7,726-3264687,,21.2981744421907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000013023,,17.7935943060498,,,,,,,,80.9608540925267,,,,,,,,,,,,,,,,,,,,
3,30000057488,,15.7894736842105,,,,,15.7894736842105,14.6949486114148,,,,,,,,,,,,,,,,,,14.0,19.0,73.6842105263158,73.6842105263158,73.6842105263158
3,30000009204,,18.5975609756098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000063958,,17.3770491803279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,766-0677190,,33.9449541284404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,77116100002,,17.9822872545245,,,,-41.2044374009509,,,,,,,,,,,,,,,,,,,,,,,,
3,30000034786,,33.3333333333333,,,,,20.8333333333333,42.4086151979372,,,,,,,,,,,,,,,,,,18.0,24.0,75.0,75.0,75.0
3,330-0046798,,20.5128205128205,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000712423,,16.2046908315565,,,,,,,,39.4456289978678,,,,,,,,,,,,,,,,,,,,
3,30000013025,,15.4589371980676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000021448,,33.3333333333333,,,,,16.6666666666667,25.8158085569253,,,,,,,,,,33.3333333333333,,,,,,,,,,,,
1,10000024737,,20.0,,,,,20.0,32.5777543489721,,,,,,,,,,,,,,,,,,,,,,
5,50000066973,,20.5882352941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,120-5296249,,23.0901978831109,,,,,,,,,,,,,,,,,,,,,99.8259355961706,,,,,,,
3,30000058181,,22.2222222222222,,,,,44.4444444444444,71.2932701927566,,,,,,,,,,,,,,,,,,5.0,9.0,55.5555555555556,55.5555555555556,55.5555555555556
9,90000060143,,20.2749140893471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000024272,,26.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,90003441677,,57.0883315158124,,,17.1210468920393,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000058818,,20.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000005852,,25.3112033195021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000065856,,41.5282392026578,,,,,,,,31.5614617940199,,,,,,,,,,,,,,,,,,,,
3,30000091005,,24.4444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,942-1570515,,23.5042735042735,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20002235244,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000001695,,19.2307692307692,,,,,1.92307692307692,13.7366401753905,,59.6153846153846,,,,,,,,2.5,,,,,,,,,,,,
5,50000060216,,23.6503856041131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000058304,,28.5714285714286,,,,,14.2857142857143,21.1834216699974,,,,,,,,,,,,,,,,,,10.0,14.0,71.4285714285714,71.4285714285714,71.4285714285714
5,543-1847878,,23.5395189003436,,,,-60.8344549125168,,,,,,,,,,,,,,,,,,,,,,,,
5,50000000491,,18.2584269662921,,,,-39.5585738539898,,,,,,,,,,,,,,,,,,,,,,,,
1,10000705551,,24.4972577696526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000012604,,34.4827586206897,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,952-1494782,,17.8885630498534,,,9.09090909090909,,,,,30.2052785923754,,,,,,,,80.6451612903226,,,,,,,,,,,,
3,30000035426,,21.9178082191781,,,,,2.73972602739726,17.2737741681314,,,,,,,,,,,,,,,,,,,,,,26.027397260274
5,50000008116,,18.7369675305332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000034182,,28.5714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5714285714286
3,30000022597,,24.4755244755245,,,,,,,,,,,,,,,,3.03030303030303,,,,,,,,,,,,
1,10000702984,,16.796875,,,,,,,,65.625,,,,,,,,,,,,,,,,,,,,
7,766-0408181,,33.3333333333333,,,,,,,,,,,,,,16.6666666666667,,16.6666666666667,,,,,,,,,,,,
7,795-4711453,,34.9727452923687,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,952-0278529,,16.412213740458,,,11.8320610687023,,,,,35.4961832061069,,,,,,,,77.4193548387097,,,,,,,,,,,,
5,50000062604,,16.9617771969944,,,,50.8476246796767,,,,,,,,,,,,,,,,,,,,,,,,
2,20002939001,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,776-0586058,,18.8879803761243,,,,-29.2654713707345,,,,,,,,,,,,,,,,,,,,,,,,
5,50000060801,,17.3076923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,726-2684331,,18.8291399440881,,,,,,,,,,,,,,,,,,,,,76.9516728624535,,,,,,,
3,30000057203,,23.8095238095238,38.0952380952381,,9.52380952380952,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000066584,,16.8091168091168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000032284,,35.7142857142857,,,14.2857142857143,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000700489,,22.0338983050847,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000020508,,30.7692307692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,71277600002,,15.702479338843,74.3801652892562,,,,,,,31.404958677686,,27.2727272727273,,,,,,,,,,,,,,,,,,
2,20000368429,,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,71154700004,,15.6996587030717,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000058813,,22.2222222222222,,,,,22.2222222222222,23.156836461126,,,,,,,,,,,,,,,,,,,,,,
3,30000057444,,20.0,,,,,80.0,79.8892988929889,,,,,,,,,,,,,,,,,,,,,,
3,30000026799,,17.4696271470465,,,,,,,,46.3343108504399,,,,,,,,5.75079872204473,,,,,,,,,,,,
7,720-5439763,,19.365798414496,,,,-22.8146853146853,,,,,,,,,,,,,,,,,99.7854077253219,,,,,,,
1,10000705902,,17.4603174603175,,,,,5.15873015873016,26.1961055686908,,30.5555555555556,,,,,,,,,,,,,,,,,,,,
5,50000007397,,15.2158527954706,,,,,,,,72.0452937013447,,,,,,,,,,,,,,,,,,,,
3,30000032975,,16.25,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,
5,50000002644,,21.3114754098361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000002945,,28.5714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20000957757,,16.8330955777461,,,,25.4025044722719,,,,,,,,,,,,1.00502512562814,,,,,,,,,,,,
3,387-0788512,,16.359918200409,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000026708,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000012854,,22.2952975994739,,,,,2.2032226241368,20.5578930269742,,,,,,,,,,,,,,,,,,,,,,
1,10000003147,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,71222400008,,16.8684107770402,,,,-50.9386973180077,,,,,,,,,,,,,,,,,99.6699669966997,,,,,,,
2,20000225559,,19.2307692307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0769230769231
1,10000016870,,33.3333333333333,33.3333333333333,,16.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000033618,,21.7105263157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9736842105263
3,30000034957,,50.0,,,,,50.0,64.6574316735305,,,,,,,,,,,,,,,,,,,,,,50.0
5,50000013384,,33.3333333333333,,16.6666666666667,,,,,,41.6666666666667,,16.6666666666667,16.6666666666667,,,,,,,,,,,,,,,,,
9,920-0790865,,22.2222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000058103,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,961-0727921,,17.8191489361702,,,10.3723404255319,,,,,61.1702127659574,,,,,,,,66.6666666666667,,,,,,,,,,,,
3,30000001213,,16.8674698795181,,,,,,,,30.1204819277108,,,,,,,,,,,,,,,,,,,,
9,920-0617801,,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000058577,,26.6666666666667,,,,,2.22222222222222,15.2813332636748,,,,,,,,,,,,,,,,,,,,,,28.8888888888889
