year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q052,q064,arid
2011,3,3.0,24.0,2.0,1.0,,,25.0,,6.0,,2.0,,1.0,1.0,52.0,,,,,,,,,,30000012010
2011,2,2.0,,,,,,4.0,,,,,2.0,,,48.0,,,,,1.0,,,,,20000671147
2011,1,8.0,1.0,1.0,,,,40.0,2.0,11.0,1.0,5.0,15.0,,6.0,339.0,,,,,2.0,,,,,10000009179
2011,3,76.0,,,,,,2.0,1.0,,,10.0,16.0,,,57.0,,,,,,,,,,30000019459
2011,3,14.0,,,,,,,1.0,1.0,,3.0,,,2.0,76.0,,1.0,,,,,,,,30000027235
2011,3,17.0,,,,,,,,,,,,,,25.0,,,,,,,,,,30000019234
2011,3,13.0,,,,,,1.0,,,,,,,,16.0,,,,,,,,,,30000029031
2011,5,3.0,,,,,,,1.0,6.0,,2.0,,,,,,,,,,,,,,50000005500
2011,5,43.0,6.0,,,,,,,,,10.0,,1.0,,14.0,,,,,,,,,,50000062514
2011,3,28.0,2.0,,,,,8.0,,2.0,,1.0,26.0,,,34.0,,,,,,,,,,30000015752
2011,7,59.0,6.0,,1.0,,,,,,,,,,,88.0,,,,,,,,,,720-1875448
2011,9,23.0,,,,,,3.0,3.0,,,,1.0,,,77.0,,,,,,,,,,90000717924
2011,3,54.0,2.0,,,,,28.0,6.0,1.0,,7.0,1.0,,,67.0,,,,,,,,,,30000018408
2011,3,4.0,,,,,,4.0,,1.0,,1.0,,,1.0,13.0,,,,,1.0,,,,,30000010378
2011,3,1.0,1.0,,,,,1.0,1.0,1.0,,17.0,,,,49.0,,,,,,,,,,30000028114
2011,3,28.0,,,,,,2.0,,,,,3.0,,,19.0,,,,,,,,,,30000011670
2011,3,22.0,,,,,,3.0,,3.0,,,1.0,,,57.0,,,,,,,,,,30000014629
2011,5,2.0,,,,,,2.0,9.0,,,,,,,83.0,,,,,,,,,,50000019263
2011,7,2.0,,,,,,,2.0,,,,,,,6.0,,,,,,,,,,77734800004
2011,1,28.0,,,,,,1.0,,2.0,,8.0,1.0,1.0,1.0,125.0,,,,,,,,,,10000704474
2011,9,18.0,7.0,,,,,37.0,1.0,9.0,1.0,51.0,57.0,1.0,,597.0,,,,,,,,,,90000527954
2011,5,2.0,,,,,,,,,,,,,,,,,,,,,,,,50000007870
2011,7,79.0,,,,,,,13.0,,,,,,,59.0,,,,,,,,,,720-3757393
2011,7,55.0,,,,,,,,,,8.0,,,,45.0,,,,,,,,,,726-2689428
2011,1,24.0,,,,,,,,,,32.0,,2.0,,95.0,,,,,,,,,,10000014369
2011,7,5.0,,,,,,,,1.0,1.0,35.0,,,,25.0,,1.0,,,,,,,,722-2894356
2011,3,2.0,,,,,,8.0,,3.0,,2.0,2.0,,,45.0,,,,,,,,,,30000008698
2011,5,5.0,,,,,,,,,,2.0,,,,8.0,,,,,,,,,,50000064880
2011,3,10.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,30000016179
2011,3,11.0,,,,,,1.0,,,,,,,,10.0,,,,,,,,,,30000010007
2011,5,17.0,,,,,,,,14.0,,5.0,,,,13.0,,,,,,,,,,50000001472
2011,3,3.0,,,,,,7.0,,,,,,,,21.0,,,,,,,,,,30000090253
2011,3,11.0,,,,,,3.0,3.0,,,6.0,1.0,,2.0,76.0,,,,,,,,,,30000010619
2011,5,2.0,,,,,,,,,,,,,,,,,,,,,,,,50000008349
2011,3,25.0,,,,,,,,1.0,,,,,1.0,25.0,,,,,,,,,,30000016375
2011,3,1.0,,,,,,3.0,,1.0,,,7.0,,1.0,12.0,,,,,,,,,,30000023546
2011,5,5.0,,,,,,10.0,1.0,,,2.0,,,1.0,10.0,,,,,,,,,,50000015802
2011,5,1.0,,,1.0,,,,36.0,1.0,,61.0,,,1.0,76.0,,,,,,,,,,50000024692
2011,1,27.0,,,,,,,,,,,,,,29.0,,,,,,,,,,137-1400739
2011,1,14.0,,,,,,,,,,,,,,26.0,,,,,,,,,,133-1005790
2011,3,5.0,,,,,,,1.0,,,,,,1.0,15.0,,,,,,,,,,30000009788
2011,3,10.0,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,30000012384
2011,7,1.0,4.0,,13.0,,,,,,,209.0,,,6.0,617.0,,,,,,,,,,77635500004
2011,3,13.0,,,,,,,,,,,,,1.0,32.0,,,,,,,,,,326-1717830
2011,7,4.0,1.0,,,,,,,,,,,2.0,6.0,57.0,,,,,,,,,,736-4485107
2011,3,1.0,1.0,,,,,,,,,,,,,6.0,,,,,,,,,,30000027723
2011,3,1.0,,,,,,,,,,,,,,4.0,,,,,,,,,,30000026594
2011,3,13.0,,,,,,2.0,,1.0,,,,,,24.0,,,,,,,,,,30000000902
2011,5,34.0,,,,,,,,,,3.0,,,,24.0,,,,,,1.0,,,,50000009845
2011,3,32.0,,,,,,2.0,,,,,,,,8.0,,,,,,,,,,30000029121
2011,1,1.0,,,,,,7.0,,,,1.0,,,,33.0,,,,,,,,,,10000701611
2011,7,12.0,,,,,,,140.0,,,,,,,13.0,,,,,,,,,,763-1052225
2011,1,1.0,1.0,1.0,,,,14.0,,1.0,,1.0,4.0,,,26.0,,,,,,,,,,10000705174
2011,7,8.0,,,1.0,,,,7.0,,,,,1.0,,33.0,,,,,,,,,,75548809999
2011,3,2.0,13.0,,,,,6.0,23.0,1.0,,85.0,30.0,,,48.0,,,,,,,,,,30000028489
2011,3,134.0,,,,,,1.0,6.0,,1.0,1.0,,,,22.0,,,,,1.0,,,,,30000008141
2011,3,3.0,,,,,,,,,,,,,,10.0,,,,,1.0,,,,,30000026530
2011,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,72512209999
2011,9,1.0,5.0,,,,,11.0,2.0,,1.0,1.0,,,2.0,126.0,,,,,3.0,,,,,90000463735
2011,3,2.0,1.0,,,,,,,,,,,,,5.0,,,,,,,,,,30000023299
2011,1,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,10000011412
2011,1,15.0,1.0,,,,,1.0,,,,1.0,2.0,1.0,,43.0,,4.0,,,,,,,,10000002725
2011,3,21.0,,,,,,18.0,2.0,,,,6.0,,,35.0,,,,,1.0,,,,,30000014158
2011,3,1.0,11.0,,,,,54.0,,1.0,,,72.0,1.0,,32.0,1.0,,,,,,,,,30000033510
2011,1,26.0,4.0,1.0,,,,3.0,1.0,,,3.0,,1.0,,12.0,,,,,,,,,,10000715525
2011,3,5.0,,,15.0,,,1.0,2.0,,,107.0,2.0,,,11.0,,,,,,,,,,30000012299
2011,9,7.0,,,,,,,,2.0,,,,,1.0,1.0,,,,,,,,,,90000170716
2011,1,23.0,1.0,,,,,,2.0,,,,1.0,,3.0,3.0,,,,,,,,,,10000707101
2011,1,28.0,26.0,4.0,,,,3.0,7.0,,,,3.0,,,57.0,,,,,59.0,,,,,10000702738
2011,5,6.0,,,,,,,3.0,,,,,,,4.0,,,,,,,,,,50000009589
2011,3,7.0,1.0,,,,,6.0,,1.0,,,,,1.0,19.0,,,,,,,,,,30000028530
2011,9,9.0,460.0,46.0,80.0,,,,29.0,,,152.0,,46.0,45.0,7748.0,,,,,,,,,,931-1197926
2011,5,7.0,,,,,,,,,,,,,,8.0,,,,,,,,,,50000066595
2011,7,6.0,1.0,,13.0,,,,,,,,,,,11.0,,,,,,,,,,77545800001
2011,3,4.0,,,,,,,,,,,,,,7.0,,,,,,,,,,330-0046798
2011,1,6.0,35.0,,84.0,,,,,,,,,4.0,1.0,1127.0,,,,,,,,,,120-5296249
2011,2,2.0,,,,,,2.0,,2.0,,,,1.0,,15.0,,,,,,,,,,20000832470
2011,1,43.0,1.0,1.0,,,,2.0,1.0,,,,2.0,,,1.0,,,,,1.0,,,,,10000014510
2011,7,2.0,,,,,,,,,,,,,,,,,,,,,,,,771-0232620
2011,5,1.0,,,,,,,5.0,,,,,,,,,,,,,,,,,50000011300
2011,1,2.0,3.0,1.0,,,,11.0,14.0,,2.0,,1.0,,,62.0,,,,,,,,,,10000002311
2011,3,1.0,,,,,,3.0,,2.0,,,1.0,,,11.0,,,,,,,,,,30000011623
2011,9,3.0,535.0,46.0,29.0,1.0,,378.0,131.0,82.0,131.0,232.0,76.0,449.0,22.0,6338.0,,,,,,,,,,90000852320
2011,9,8.0,,,236.0,6.0,2.0,,474.0,,,243.0,,,1.0,59.0,,,,,,,,,,923-1694840
2011,3,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,15.0,,,,,,,,,,30000020856
2011,9,207.0,234.0,12.0,,,,298.0,6.0,41.0,4.0,32.0,47.0,10.0,6.0,1094.0,,,,,2.0,1.0,,,,90000917742
2011,9,2.0,72.0,3.0,,,,15.0,1.0,12.0,6.0,2.0,,7.0,1.0,755.0,,,,,,,,,,90001464122
2011,5,3.0,,,,,,8.0,,,,,1.0,,,6.0,,,,,,,,,,50000003413
2011,5,6.0,1.0,,,,,,14.0,,,,,,,24.0,,,,,,,,,,50000060042
2011,1,3.0,9.0,,8.0,,,,4.0,,,7.0,4.0,4.0,,58.0,1.0,,,,,,,,,10000017464
