year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q052,q064,arid
2007,3,,1.0,1.0,,,,1.0,,,,,,,,62.0,,,,,1.0,,,,,30000057127
2007,5,,5.0,1.0,,,,,,,,,,1.0,,,,,3.0,,,,,,,50000068428
2007,3,,1.0,,,,,5.0,,,,,1.0,,,4.0,,,,,,,,,,30000032743
2007,4,,1.0,,,,,,,,,,,,,,,,,,,,,,,40000003198
2007,3,,1.0,,,,,3.0,,,,,,,,3.0,,,,,,,,,,30000033539
2007,1,,1.0,,,,,,,1.0,,,,,,1.0,,,,,7.0,1.0,,,,120-3380020
2007,4,,1.0,,,,,12.0,,,,,,1.0,,,,,,,,,,,,40000005066
2007,3,,2.0,,,,,3.0,,1.0,,,,,,35.0,,,,,,,,,,30000034862
2007,3,,4.0,,,,,3.0,,,,1.0,107.0,,,112.0,,,,,4.0,,,,,30000027559
2007,3,,2.0,1.0,,,,5.0,,,,,,,1.0,18.0,,,,,,,,,,30000029663
2007,7,,86.0,,,,,2.0,,,,,,,,,,,,2.0,4.0,1.0,,,,71447200001
2007,1,,3.0,,,,,1.0,,1.0,,,,,,14.0,,,,,,,,,,10000022644
2007,7,,15.0,,,,,,,,,,,,,246.0,,,,,,,,,,77055000004
2007,4,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,40000008569
